IH,IW,IC,T
72,72,16,115
72,72,8,76
36,36,48,70
36,36,8,19
18,18,48,18
18,18,16,7
18,18,96,34
9,9,96,9
9,9,24,3
9,9,144,12
9,9,144,12
9,9,32,3
9,9,192,17
5,5,192,4
5,5,56,2
5,5,336,8
5,5,336,8
5,5,112,3
88,88,16,172
88,88,8,112
44,44,24,59
44,44,16,43
44,44,48,105
22,22,48,26
22,22,16,11
22,22,16,11
11,11,96,12
11,11,24,3
11,11,72,10
11,11,24,4
11,11,144,18
11,11,32,5
11,11,96,13
11,11,32,4
6,6,192,7
6,6,64,3
6,6,384,14
6,6,64,2
6,6,384,15
6,6,96,3
48,48,16,52
48,48,8,34
24,24,32,22
24,24,16,13
24,24,48,31
12,12,48,8
12,12,24,4
12,12,120,19
6,6,120,5
6,6,40,1
6,6,160,6
6,6,160,6
6,6,48,2
6,6,144,5
6,6,48,2
6,6,192,6
6,6,48,2
3,3,240,2
3,3,96,1
3,3,384,4
3,3,96,1
3,3,576,5
3,3,160,2
72,72,8,76
72,72,48,279
36,36,8,19
36,36,48,69
18,18,16,8
18,18,96,33
18,18,16,7
9,9,24,2
9,9,144,12
9,9,24,3
9,9,32,3
9,9,192,16
9,9,32,3
5,5,56,2
5,5,336,8
5,5,56,1
5,5,112,3
5,5,448,11
88,88,8,113
88,88,24,234
44,44,16,43
44,44,48,104
44,44,16,43
22,22,16,11
22,22,48,26
22,22,96,49
11,11,24,4
11,11,72,9
11,11,24,4
11,11,144,18
11,11,32,4
11,11,96,11
11,11,32,4
11,11,192,24
6,6,64,3
6,6,384,13
6,6,64,3
6,6,192,7
6,6,96,3
6,6,384,14
48,48,8,33
48,48,32,88
24,24,16,13
24,24,48,31
24,24,16,13
12,12,24,5
12,12,120,17
12,12,24,4
6,6,40,2
6,6,160,5
6,6,40,2
6,6,48,2
6,6,144,5
6,6,48,2
6,6,192,7
6,6,48,2
6,6,240,8
3,3,96,1
3,3,384,3
3,3,96,1
3,3,576,5
3,3,160,1
3,3,160,1
