IH,IW,IC,T
72,72,16,107
72,72,8,56
36,36,48,77
36,36,8,14
18,18,48,19
18,18,16,6
18,18,96,39
9,9,96,9
9,9,24,2
9,9,144,15
9,9,144,14
9,9,32,3
9,9,192,19
5,5,192,6
5,5,56,2
5,5,336,10
5,5,336,10
5,5,112,3
88,88,16,160
88,88,8,83
44,44,24,59
44,44,16,39
44,44,48,115
22,22,48,29
22,22,16,10
22,22,16,10
11,11,96,14
11,11,24,4
11,11,72,11
11,11,24,3
11,11,144,22
11,11,32,5
11,11,96,14
11,11,32,5
6,6,192,8
6,6,64,3
6,6,384,17
6,6,64,3
6,6,384,17
6,6,96,4
48,48,16,48
48,48,8,24
24,24,32,24
24,24,16,11
24,24,48,34
12,12,48,9
12,12,24,4
12,12,120,21
6,6,120,5
6,6,40,2
6,6,160,6
6,6,160,7
6,6,48,2
6,6,144,6
6,6,48,3
6,6,192,8
6,6,48,2
3,3,240,2
3,3,96,1
3,3,384,4
3,3,96,1
3,3,576,6
3,3,160,2
72,72,8,54
72,72,48,310
36,36,8,13
36,36,48,77
18,18,16,6
18,18,96,38
18,18,16,6
9,9,24,2
9,9,144,14
9,9,24,3
9,9,32,3
9,9,192,18
9,9,32,3
5,5,56,2
5,5,336,10
5,5,56,2
5,5,112,3
5,5,448,13
88,88,8,81
88,88,24,234
44,44,16,39
44,44,48,115
44,44,16,39
22,22,16,10
22,22,48,29
22,22,96,57
11,11,24,3
11,11,72,10
11,11,24,4
11,11,144,21
11,11,32,5
11,11,96,13
11,11,32,4
11,11,192,28
6,6,64,2
6,6,384,17
6,6,64,3
6,6,192,8
6,6,96,4
6,6,384,16
48,48,8,24
48,48,32,93
24,24,16,11
24,24,48,34
24,24,16,11
12,12,24,4
12,12,120,21
12,12,24,4
6,6,40,2
6,6,160,7
6,6,40,1
6,6,48,2
6,6,144,6
6,6,48,3
6,6,192,9
6,6,48,2
6,6,240,10
3,3,96,1
3,3,384,4
3,3,96,1
3,3,576,6
3,3,160,2
3,3,160,2
