IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
32,32,3,3,0,0,2,2,2,2,16,16,26
32,32,6,6,0,0,2,2,2,2,16,16,42
32,32,9,9,0,0,2,2,2,2,16,16,60
32,32,12,12,0,0,2,2,2,2,16,16,72
32,32,16,16,0,0,2,2,2,2,16,16,93
32,32,19,19,0,0,2,2,2,2,16,16,112
32,32,22,22,0,0,2,2,2,2,16,16,127
32,32,25,25,0,0,2,2,2,2,16,16,143
32,32,28,28,0,0,2,2,2,2,16,16,153
32,32,32,32,0,0,2,2,2,2,16,16,173
16,16,3,3,0,0,2,2,2,2,8,8,7
16,16,6,6,0,0,2,2,2,2,8,8,11
16,16,9,9,0,0,2,2,2,2,8,8,15
16,16,12,12,0,0,2,2,2,2,8,8,18
16,16,16,16,0,0,2,2,2,2,8,8,23
16,16,19,19,0,0,2,2,2,2,8,8,28
16,16,22,22,0,0,2,2,2,2,8,8,31
16,16,25,25,0,0,2,2,2,2,8,8,36
16,16,28,28,0,0,2,2,2,2,8,8,38
16,16,32,32,0,0,2,2,2,2,8,8,42
8,8,6,6,0,0,2,2,2,2,4,4,3
8,8,12,12,0,0,2,2,2,2,4,4,4
8,8,19,19,0,0,2,2,2,2,4,4,7
8,8,25,25,0,0,2,2,2,2,4,4,9
8,8,32,32,0,0,2,2,2,2,4,4,10
8,8,38,38,0,0,2,2,2,2,4,4,13
8,8,44,44,0,0,2,2,2,2,4,4,14
8,8,51,51,0,0,2,2,2,2,4,4,17
8,8,57,57,0,0,2,2,2,2,4,4,20
8,8,64,64,0,0,2,2,2,2,4,4,21
5,5,44,44,0,0,5,5,5,5,1,1,2
5,5,89,89,0,0,5,5,5,5,1,1,6
5,5,134,134,0,0,5,5,5,5,1,1,8
5,5,179,179,0,0,5,5,5,5,1,1,12
5,5,224,224,0,0,5,5,5,5,1,1,13
5,5,268,268,0,0,5,5,5,5,1,1,16
5,5,313,313,0,0,5,5,5,5,1,1,20
5,5,358,358,0,0,5,5,5,5,1,1,22
5,5,403,403,0,0,5,5,5,5,1,1,27
5,5,448,448,0,0,5,5,5,5,1,1,25
6,6,38,38,0,0,6,6,6,6,1,1,4
6,6,76,76,0,0,6,6,6,6,1,1,6
6,6,115,115,0,0,6,6,6,6,1,1,11
6,6,153,153,0,0,6,6,6,6,1,1,14
6,6,192,192,0,0,6,6,6,6,1,1,15
6,6,230,230,0,0,6,6,6,6,1,1,19
6,6,268,268,0,0,6,6,6,6,1,1,20
6,6,307,307,0,0,6,6,6,6,1,1,27
6,6,345,345,0,0,6,6,6,6,1,1,30
6,6,384,384,0,0,6,6,6,6,1,1,29
3,3,16,16,0,0,3,3,3,3,1,1,1
3,3,32,32,0,0,3,3,3,3,1,1,1
3,3,48,48,0,0,3,3,3,3,1,1,1
3,3,64,64,0,0,3,3,3,3,1,1,2
3,3,80,80,0,0,3,3,3,3,1,1,2
3,3,96,96,0,0,3,3,3,3,1,1,3
3,3,112,112,0,0,3,3,3,3,1,1,3
3,3,128,128,0,0,3,3,3,3,1,1,4
3,3,144,144,0,0,3,3,3,3,1,1,5
3,3,160,160,0,0,3,3,3,3,1,1,5
