IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
72,72,16,1,0,0,1,1,1,1,72,72,0
72,72,16,2,0,0,1,1,1,1,72,72,474
72,72,16,3,0,0,1,1,1,1,72,72,0
72,72,16,4,0,0,1,1,1,1,72,72,641
72,72,16,4,0,0,1,1,1,1,72,72,640
72,72,16,5,0,0,1,1,1,1,72,72,0
72,72,16,6,0,0,1,1,1,1,72,72,806
72,72,16,7,0,0,1,1,1,1,72,72,0
72,72,16,8,0,0,1,1,1,1,72,72,972
72,72,8,4,0,0,1,1,1,1,72,72,432
72,72,8,9,0,0,1,1,1,1,72,72,0
72,72,8,14,0,0,1,1,1,1,72,72,1005
72,72,8,19,0,0,1,1,1,1,72,72,0
72,72,8,24,0,0,1,1,1,1,72,72,1583
72,72,8,28,0,0,1,1,1,1,72,72,1812
72,72,8,33,0,0,1,1,1,1,72,72,0
72,72,8,38,0,0,1,1,1,1,72,72,2386
72,72,8,43,0,0,1,1,1,1,72,72,0
72,72,8,48,0,0,1,1,1,1,72,72,2961
36,36,48,0,0,0,1,1,1,1,36,36,176
36,36,48,1,0,0,1,1,1,1,36,36,0
36,36,48,2,0,0,1,1,1,1,36,36,277
36,36,48,3,0,0,1,1,1,1,36,36,0
36,36,48,4,0,0,1,1,1,1,36,36,369
36,36,48,4,0,0,1,1,1,1,36,36,369
36,36,48,5,0,0,1,1,1,1,36,36,0
36,36,48,6,0,0,1,1,1,1,36,36,462
36,36,48,7,0,0,1,1,1,1,36,36,0
36,36,48,8,0,0,1,1,1,1,36,36,555
36,36,8,4,0,0,1,1,1,1,36,36,107
36,36,8,9,0,0,1,1,1,1,36,36,0
36,36,8,14,0,0,1,1,1,1,36,36,251
36,36,8,19,0,0,1,1,1,1,36,36,0
36,36,8,24,0,0,1,1,1,1,36,36,396
36,36,8,28,0,0,1,1,1,1,36,36,453
36,36,8,33,0,0,1,1,1,1,36,36,0
36,36,8,38,0,0,1,1,1,1,36,36,596
36,36,8,43,0,0,1,1,1,1,36,36,0
36,36,8,48,0,0,1,1,1,1,36,36,740
18,18,48,3,0,0,1,1,1,1,18,18,0
18,18,48,4,0,0,1,1,1,1,18,18,93
18,18,48,6,0,0,1,1,1,1,18,18,115
18,18,48,8,0,0,1,1,1,1,18,18,139
18,18,48,11,0,0,1,1,1,1,18,18,0
18,18,48,12,0,0,1,1,1,1,18,18,185
18,18,48,14,0,0,1,1,1,1,18,18,208
18,18,48,16,0,0,1,1,1,1,18,18,231
18,18,16,19,0,0,1,1,1,1,18,18,0
18,18,16,28,0,0,1,1,1,1,18,18,165
18,18,16,38,0,0,1,1,1,1,18,18,216
18,18,16,48,0,0,1,1,1,1,18,18,269
18,18,16,67,0,0,1,1,1,1,18,18,0
18,18,16,76,0,0,1,1,1,1,18,18,414
18,18,16,86,0,0,1,1,1,1,18,18,468
18,18,16,96,0,0,1,1,1,1,18,18,530
18,18,96,3,0,0,1,1,1,1,18,18,0
18,18,96,4,0,0,1,1,1,1,18,18,171
18,18,96,6,0,0,1,1,1,1,18,18,213
18,18,96,8,0,0,1,1,1,1,18,18,255
18,18,96,11,0,0,1,1,1,1,18,18,0
18,18,96,12,0,0,1,1,1,1,18,18,340
18,18,96,14,0,0,1,1,1,1,18,18,384
18,18,96,16,0,0,1,1,1,1,18,18,435
9,9,96,2,0,0,1,1,1,1,9,9,32
9,9,96,4,0,0,1,1,1,1,9,9,43
9,9,96,9,0,0,1,1,1,1,9,9,0
9,9,96,12,0,0,1,1,1,1,9,9,86
9,9,96,14,0,0,1,1,1,1,9,9,97
9,9,96,16,0,0,1,1,1,1,9,9,110
9,9,96,21,0,0,1,1,1,1,9,9,0
9,9,96,24,0,0,1,1,1,1,9,9,153
9,9,24,14,0,0,1,1,1,1,9,9,31
