IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
32,32,3,3,0,0,2,2,2,2,16,16,16
32,32,6,6,0,0,2,2,2,2,16,16,31
32,32,9,9,0,0,2,2,2,2,16,16,47
32,32,12,12,0,0,2,2,2,2,16,16,63
32,32,16,16,0,0,2,2,2,2,16,16,84
32,32,19,19,0,0,2,2,2,2,16,16,99
32,32,22,22,0,0,2,2,2,2,16,16,116
32,32,25,25,0,0,2,2,2,2,16,16,131
32,32,28,28,0,0,2,2,2,2,16,16,146
32,32,32,32,0,0,2,2,2,2,16,16,168
16,16,3,3,0,0,2,2,2,2,8,8,4
16,16,6,6,0,0,2,2,2,2,8,8,8
16,16,9,9,0,0,2,2,2,2,8,8,12
16,16,12,12,0,0,2,2,2,2,8,8,16
16,16,16,16,0,0,2,2,2,2,8,8,21
16,16,19,19,0,0,2,2,2,2,8,8,26
16,16,22,22,0,0,2,2,2,2,8,8,29
16,16,25,25,0,0,2,2,2,2,8,8,33
16,16,28,28,0,0,2,2,2,2,8,8,37
16,16,32,32,0,0,2,2,2,2,8,8,43
8,8,6,6,0,0,2,2,2,2,4,4,2
8,8,12,12,0,0,2,2,2,2,4,4,4
8,8,19,19,0,0,2,2,2,2,4,4,7
8,8,25,25,0,0,2,2,2,2,4,4,9
8,8,32,32,0,0,2,2,2,2,4,4,11
8,8,38,38,0,0,2,2,2,2,4,4,13
8,8,44,44,0,0,2,2,2,2,4,4,15
8,8,51,51,0,0,2,2,2,2,4,4,18
8,8,57,57,0,0,2,2,2,2,4,4,19
8,8,64,64,0,0,2,2,2,2,4,4,22
5,5,44,44,0,0,5,5,5,5,1,1,4
5,5,89,89,0,0,5,5,5,5,1,1,7
5,5,134,134,0,0,5,5,5,5,1,1,11
5,5,179,179,0,0,5,5,5,5,1,1,14
5,5,224,224,0,0,5,5,5,5,1,1,18
5,5,268,268,0,0,5,5,5,5,1,1,21
5,5,313,313,0,0,5,5,5,5,1,1,25
5,5,358,358,0,0,5,5,5,5,1,1,28
5,5,403,403,0,0,5,5,5,5,1,1,32
5,5,448,448,0,0,5,5,5,5,1,1,36
6,6,38,38,0,0,6,6,6,6,1,1,4
6,6,76,76,0,0,6,6,6,6,1,1,8
6,6,115,115,0,0,6,6,6,6,1,1,12
6,6,153,153,0,0,6,6,6,6,1,1,16
6,6,192,192,0,0,6,6,6,6,1,1,20
6,6,230,230,0,0,6,6,6,6,1,1,24
6,6,268,268,0,0,6,6,6,6,1,1,29
6,6,307,307,0,0,6,6,6,6,1,1,32
6,6,345,345,0,0,6,6,6,6,1,1,36
6,6,384,384,0,0,6,6,6,6,1,1,40
3,3,32,32,0,0,3,3,3,3,1,1,1
3,3,48,48,0,0,3,3,3,3,1,1,2
3,3,64,64,0,0,3,3,3,3,1,1,3
3,3,80,80,0,0,3,3,3,3,1,1,3
3,3,96,96,0,0,3,3,3,3,1,1,4
3,3,112,112,0,0,3,3,3,3,1,1,5
3,3,128,128,0,0,3,3,3,3,1,1,5
3,3,144,144,0,0,3,3,3,3,1,1,6
3,3,160,160,0,0,3,3,3,3,1,1,7
32,32,3,3,0,0,2,2,2,2,16,16,16
32,32,6,6,0,0,2,2,2,2,16,16,31
32,32,9,9,0,0,2,2,2,2,16,16,47
32,32,12,12,0,0,2,2,2,2,16,16,63
32,32,16,16,0,0,2,2,2,2,16,16,84
32,32,19,19,0,0,2,2,2,2,16,16,100
32,32,22,22,0,0,2,2,2,2,16,16,115
32,32,25,25,0,0,2,2,2,2,16,16,131
32,32,28,28,0,0,2,2,2,2,16,16,146
32,32,32,32,0,0,2,2,2,2,16,16,168
16,16,3,3,0,0,2,2,2,2,8,8,4
16,16,6,6,0,0,2,2,2,2,8,8,8
16,16,9,9,0,0,2,2,2,2,8,8,12
16,16,12,12,0,0,2,2,2,2,8,8,16
16,16,16,16,0,0,2,2,2,2,8,8,21
16,16,19,19,0,0,2,2,2,2,8,8,26
16,16,22,22,0,0,2,2,2,2,8,8,29
16,16,25,25,0,0,2,2,2,2,8,8,33
16,16,28,28,0,0,2,2,2,2,8,8,38
16,16,32,32,0,0,2,2,2,2,8,8,42
8,8,6,6,0,0,2,2,2,2,4,4,2
8,8,12,12,0,0,2,2,2,2,4,4,4
8,8,19,19,0,0,2,2,2,2,4,4,7
8,8,25,25,0,0,2,2,2,2,4,4,9
8,8,32,32,0,0,2,2,2,2,4,4,11
8,8,38,38,0,0,2,2,2,2,4,4,13
8,8,44,44,0,0,2,2,2,2,4,4,15
8,8,51,51,0,0,2,2,2,2,4,4,18
8,8,57,57,0,0,2,2,2,2,4,4,19
8,8,64,64,0,0,2,2,2,2,4,4,22
5,5,44,44,0,0,5,5,5,5,1,1,4
5,5,89,89,0,0,5,5,5,5,1,1,7
5,5,134,134,0,0,5,5,5,5,1,1,11
5,5,179,179,0,0,5,5,5,5,1,1,14
5,5,224,224,0,0,5,5,5,5,1,1,18
5,5,268,268,0,0,5,5,5,5,1,1,21
5,5,313,313,0,0,5,5,5,5,1,1,25
5,5,358,358,0,0,5,5,5,5,1,1,28
5,5,403,403,0,0,5,5,5,5,1,1,33
5,5,448,448,0,0,5,5,5,5,1,1,35
6,6,38,38,0,0,6,6,6,6,1,1,4
6,6,76,76,0,0,6,6,6,6,1,1,8
6,6,115,115,0,0,6,6,6,6,1,1,12
6,6,153,153,0,0,6,6,6,6,1,1,16
6,6,192,192,0,0,6,6,6,6,1,1,20
6,6,230,230,0,0,6,6,6,6,1,1,25
6,6,268,268,0,0,6,6,6,6,1,1,28
6,6,307,307,0,0,6,6,6,6,1,1,32
6,6,345,345,0,0,6,6,6,6,1,1,36
6,6,384,384,0,0,6,6,6,6,1,1,40
3,3,32,32,0,0,3,3,3,3,1,1,1
3,3,48,48,0,0,3,3,3,3,1,1,2
3,3,64,64,0,0,3,3,3,3,1,1,3
3,3,80,80,0,0,3,3,3,3,1,1,3
3,3,96,96,0,0,3,3,3,3,1,1,4
3,3,112,112,0,0,3,3,3,3,1,1,5
3,3,128,128,0,0,3,3,3,3,1,1,5
3,3,144,144,0,0,3,3,3,3,1,1,6
3,3,160,160,0,0,3,3,3,3,1,1,7
