IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
32,32,3,3,2,2,5,5,1,1,32,32,487
32,32,3,6,2,2,5,5,1,1,32,32,525
32,32,3,9,2,2,5,5,1,1,32,32,773
32,32,3,12,2,2,5,5,1,1,32,32,807
32,32,3,16,2,2,5,5,1,1,32,32,993
32,32,3,19,2,2,5,5,1,1,32,32,1232
32,32,3,22,2,2,5,5,1,1,32,32,1271
32,32,3,25,2,2,5,5,1,1,32,32,1519
32,32,3,28,2,2,5,5,1,1,32,32,1553
32,32,3,32,2,2,5,5,1,1,32,32,1739
16,16,32,3,2,2,5,5,1,1,16,16,1054
16,16,32,6,2,2,5,5,1,1,16,16,1132
16,16,32,9,2,2,5,5,1,1,16,16,1564
16,16,32,12,2,2,5,5,1,1,16,16,1644
16,16,32,16,2,2,5,5,1,1,16,16,1994
16,16,32,19,2,2,5,5,1,1,16,16,2464
16,16,32,22,2,2,5,5,1,1,16,16,2550
16,16,32,25,2,2,5,5,1,1,16,16,3018
16,16,32,28,2,2,5,5,1,1,16,16,3103
16,16,32,32,2,2,5,5,1,1,16,16,3468
8,8,32,6,2,2,5,5,1,1,8,8,284
8,8,32,12,2,2,5,5,1,1,8,8,411
8,8,32,19,2,2,5,5,1,1,8,8,617
8,8,32,25,2,2,5,5,1,1,8,8,755
8,8,32,32,2,2,5,5,1,1,8,8,868
8,8,32,38,2,2,5,5,1,1,8,8,1004
8,8,32,44,2,2,5,5,1,1,8,8,1140
8,8,32,51,2,2,5,5,1,1,8,8,1345
8,8,32,57,2,2,5,5,1,1,8,8,1479
8,8,32,64,2,2,5,5,1,1,8,8,1589
144,144,3,1,1,1,3,3,2,2,72,72,914
144,144,3,3,1,1,3,3,2,2,72,72,1091
144,144,3,4,1,1,3,3,2,2,72,72,983
144,144,3,6,1,1,3,3,2,2,72,72,1166
144,144,3,8,1,1,3,3,2,2,72,72,1355
144,144,3,9,1,1,3,3,2,2,72,72,1662
144,144,3,11,1,1,3,3,2,2,72,72,1835
144,144,3,12,1,1,3,3,2,2,72,72,1727
144,144,3,14,1,1,3,3,2,2,72,72,1910
144,144,3,16,1,1,3,3,2,2,72,72,2099
176,176,3,1,1,1,3,3,2,2,88,88,1366
176,176,3,3,1,1,3,3,2,2,88,88,1629
176,176,3,4,1,1,3,3,2,2,88,88,1467
176,176,3,6,1,1,3,3,2,2,88,88,1742
176,176,3,8,1,1,3,3,2,2,88,88,2024
176,176,3,9,1,1,3,3,2,2,88,88,2482
176,176,3,11,1,1,3,3,2,2,88,88,2741
176,176,3,12,1,1,3,3,2,2,88,88,2580
176,176,3,14,1,1,3,3,2,2,88,88,2853
176,176,3,16,1,1,3,3,2,2,88,88,3137
96,96,3,1,1,1,3,3,2,2,48,48,406
96,96,3,3,1,1,3,3,2,2,48,48,485
96,96,3,4,1,1,3,3,2,2,48,48,436
96,96,3,6,1,1,3,3,2,2,48,48,518
96,96,3,8,1,1,3,3,2,2,48,48,602
96,96,3,9,1,1,3,3,2,2,48,48,738
96,96,3,11,1,1,3,3,2,2,48,48,816
96,96,3,12,1,1,3,3,2,2,48,48,768
96,96,3,14,1,1,3,3,2,2,48,48,849
96,96,3,16,1,1,3,3,2,2,48,48,933
