IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
32,32,3,32,2,2,5,5,1,1,3,32,161
32,32,3,32,2,2,5,5,1,1,6,32,321
32,32,3,32,2,2,5,5,1,1,9,32,481
32,32,3,32,2,2,5,5,1,1,12,32,641
32,32,3,32,2,2,5,5,1,1,16,32,855
32,32,3,32,2,2,5,5,1,1,19,32,1015
32,32,3,32,2,2,5,5,1,1,22,32,1175
32,32,3,32,2,2,5,5,1,1,25,32,1335
32,32,3,32,2,2,5,5,1,1,28,32,1495
32,32,3,32,2,2,5,5,1,1,32,32,1710
16,16,32,32,2,2,5,5,1,1,1,16,193
16,16,32,32,2,2,5,5,1,1,3,16,572
16,16,32,32,2,2,5,5,1,1,4,16,761
16,16,32,32,2,2,5,5,1,1,6,16,1140
16,16,32,32,2,2,5,5,1,1,8,16,1517
16,16,32,32,2,2,5,5,1,1,9,16,1706
16,16,32,32,2,2,5,5,1,1,11,16,2084
16,16,32,32,2,2,5,5,1,1,12,16,2273
16,16,32,32,2,2,5,5,1,1,14,16,2651
16,16,32,32,2,2,5,5,1,1,16,16,3034
8,8,32,64,2,2,5,5,1,1,0,8,0
8,8,32,64,2,2,5,5,1,1,1,8,187
8,8,32,64,2,2,5,5,1,1,2,8,373
8,8,32,64,2,2,5,5,1,1,3,8,558
8,8,32,64,2,2,5,5,1,1,4,8,743
8,8,32,64,2,2,5,5,1,1,4,8,743
8,8,32,64,2,2,5,5,1,1,5,8,928
8,8,32,64,2,2,5,5,1,1,6,8,1113
8,8,32,64,2,2,5,5,1,1,7,8,1300
8,8,32,64,2,2,5,5,1,1,8,8,1486
144,144,3,16,1,1,3,3,2,2,7,72,191
144,144,3,16,1,1,3,3,2,2,14,72,381
144,144,3,16,1,1,3,3,2,2,21,72,572
144,144,3,16,1,1,3,3,2,2,28,72,762
144,144,3,16,1,1,3,3,2,2,36,72,979
144,144,3,16,1,1,3,3,2,2,43,72,1169
144,144,3,16,1,1,3,3,2,2,50,72,1359
144,144,3,16,1,1,3,3,2,2,57,72,1550
144,144,3,16,1,1,3,3,2,2,64,72,1741
144,144,3,16,1,1,3,3,2,2,72,72,1958
176,176,3,16,1,1,3,3,2,2,8,88,266
176,176,3,16,1,1,3,3,2,2,17,88,565
176,176,3,16,1,1,3,3,2,2,26,88,864
176,176,3,16,1,1,3,3,2,2,35,88,1164
176,176,3,16,1,1,3,3,2,2,44,88,1463
176,176,3,16,1,1,3,3,2,2,52,88,1729
176,176,3,16,1,1,3,3,2,2,61,88,2027
176,176,3,16,1,1,3,3,2,2,70,88,2326
176,176,3,16,1,1,3,3,2,2,79,88,2626
176,176,3,16,1,1,3,3,2,2,88,88,2924
96,96,3,16,1,1,3,3,2,2,4,48,72
96,96,3,16,1,1,3,3,2,2,9,48,164
96,96,3,16,1,1,3,3,2,2,14,48,254
96,96,3,16,1,1,3,3,2,2,19,48,345
96,96,3,16,1,1,3,3,2,2,24,48,435
96,96,3,16,1,1,3,3,2,2,28,48,508
96,96,3,16,1,1,3,3,2,2,33,48,599
96,96,3,16,1,1,3,3,2,2,38,48,689
96,96,3,16,1,1,3,3,2,2,43,48,780
96,96,3,16,1,1,3,3,2,2,48,48,870
