IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
72,72,4,4,1,1,3,3,2,2,36,36,54
72,72,9,9,1,1,3,3,2,2,36,36,122
72,72,14,14,1,1,3,3,2,2,36,36,190
72,72,19,19,1,1,3,3,2,2,36,36,258
72,72,24,24,1,1,3,3,2,2,36,36,325
72,72,28,28,1,1,3,3,2,2,36,36,380
72,72,33,33,1,1,3,3,2,2,36,36,447
72,72,38,38,1,1,3,3,2,2,36,36,515
72,72,43,43,1,1,3,3,2,2,36,36,583
72,72,48,48,1,1,3,3,2,2,36,36,650
36,36,4,4,1,1,3,3,2,2,18,18,15
36,36,9,9,1,1,3,3,2,2,18,18,32
36,36,14,14,1,1,3,3,2,2,18,18,50
36,36,19,19,1,1,3,3,2,2,18,18,67
36,36,24,24,1,1,3,3,2,2,18,18,86
36,36,28,28,1,1,3,3,2,2,18,18,99
36,36,33,33,1,1,3,3,2,2,18,18,117
36,36,38,38,1,1,3,3,2,2,18,18,135
36,36,43,43,1,1,3,3,2,2,18,18,153
36,36,48,48,1,1,3,3,2,2,18,18,171
18,18,9,9,1,1,3,3,2,2,9,9,9
18,18,19,19,1,1,3,3,2,2,9,9,19
18,18,28,28,1,1,3,3,2,2,9,9,28
18,18,38,38,1,1,3,3,2,2,9,9,39
18,18,48,48,1,1,3,3,2,2,9,9,48
18,18,57,57,1,1,3,3,2,2,9,9,57
18,18,67,67,1,1,3,3,2,2,9,9,67
18,18,76,76,1,1,3,3,2,2,9,9,77
18,18,86,86,1,1,3,3,2,2,9,9,86
18,18,96,96,1,1,3,3,2,2,9,9,97
9,9,19,19,1,1,3,3,2,2,5,5,6
9,9,38,38,1,1,3,3,2,2,5,5,14
9,9,57,57,1,1,3,3,2,2,5,5,21
9,9,76,76,1,1,3,3,2,2,5,5,27
9,9,96,96,1,1,3,3,2,2,5,5,34
9,9,115,115,1,1,3,3,2,2,5,5,40
9,9,134,134,1,1,3,3,2,2,5,5,48
9,9,153,153,1,1,3,3,2,2,5,5,54
9,9,172,172,1,1,3,3,2,2,5,5,60
9,9,192,192,1,1,3,3,2,2,5,5,68
88,88,2,2,1,1,3,3,2,2,44,44,40
88,88,4,4,1,1,3,3,2,2,44,44,81
88,88,7,7,1,1,3,3,2,2,44,44,140
88,88,9,9,1,1,3,3,2,2,44,44,181
88,88,12,12,1,1,3,3,2,2,44,44,241
88,88,14,14,1,1,3,3,2,2,44,44,281
88,88,16,16,1,1,3,3,2,2,44,44,322
88,88,19,19,1,1,3,3,2,2,44,44,381
88,88,21,21,1,1,3,3,2,2,44,44,421
88,88,24,24,1,1,3,3,2,2,44,44,482
44,44,4,4,1,1,3,3,2,2,22,22,21
44,44,9,9,1,1,3,3,2,2,22,22,47
44,44,14,14,1,1,3,3,2,2,22,22,73
44,44,19,19,1,1,3,3,2,2,22,22,100
44,44,24,24,1,1,3,3,2,2,22,22,125
44,44,28,28,1,1,3,3,2,2,22,22,146
44,44,33,33,1,1,3,3,2,2,22,22,173
44,44,38,38,1,1,3,3,2,2,22,22,198
44,44,43,43,1,1,3,3,2,2,22,22,225
44,44,48,48,1,1,3,3,2,2,22,22,250
22,22,9,9,1,1,3,3,2,2,11,11,13
22,22,19,19,1,1,3,3,2,2,11,11,28
22,22,28,28,1,1,3,3,2,2,11,11,40
22,22,38,38,1,1,3,3,2,2,11,11,54
22,22,48,48,1,1,3,3,2,2,11,11,69
22,22,57,57,1,1,3,3,2,2,11,11,82
22,22,67,67,1,1,3,3,2,2,11,11,97
22,22,76,76,1,1,3,3,2,2,11,11,110
22,22,86,86,1,1,3,3,2,2,11,11,124
22,22,96,96,1,1,3,3,2,2,11,11,139
11,11,19,19,1,1,3,3,2,2,6,6,9
11,11,38,38,1,1,3,3,2,2,6,6,17
11,11,57,57,1,1,3,3,2,2,6,6,27
11,11,76,76,1,1,3,3,2,2,6,6,35
11,11,96,96,1,1,3,3,2,2,6,6,45
11,11,115,115,1,1,3,3,2,2,6,6,53
11,11,134,134,1,1,3,3,2,2,6,6,62
11,11,153,153,1,1,3,3,2,2,6,6,71
11,11,172,172,1,1,3,3,2,2,6,6,80
11,11,192,192,1,1,3,3,2,2,6,6,89
48,48,3,3,1,1,3,3,2,2,24,24,18
48,48,6,6,1,1,3,3,2,2,24,24,37
48,48,9,9,1,1,3,3,2,2,24,24,56
48,48,12,12,1,1,3,3,2,2,24,24,74
48,48,16,16,1,1,3,3,2,2,24,24,98
48,48,19,19,1,1,3,3,2,2,24,24,117
48,48,22,22,1,1,3,3,2,2,24,24,135
48,48,25,25,1,1,3,3,2,2,24,24,153
48,48,28,28,1,1,3,3,2,2,24,24,172
48,48,32,32,1,1,3,3,2,2,24,24,197
12,12,12,12,1,1,3,3,2,2,6,6,5
12,12,24,24,1,1,3,3,2,2,6,6,12
12,12,36,36,1,1,3,3,2,2,6,6,17
12,12,48,48,1,1,3,3,2,2,6,6,23
12,12,60,60,1,1,3,3,2,2,6,6,29
12,12,72,72,1,1,3,3,2,2,6,6,35
12,12,84,84,1,1,3,3,2,2,6,6,40
12,12,96,96,1,1,3,3,2,2,6,6,46
12,12,108,108,1,1,3,3,2,2,6,6,52
12,12,120,120,1,1,3,3,2,2,6,6,58
