IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
88,88,16,8,0,0,1,1,1,1,8,88,117
88,88,16,8,0,0,1,1,1,1,17,88,249
88,88,16,8,0,0,1,1,1,1,26,88,380
88,88,16,8,0,0,1,1,1,1,35,88,513
88,88,16,8,0,0,1,1,1,1,44,88,644
88,88,16,8,0,0,1,1,1,1,52,88,761
88,88,16,8,0,0,1,1,1,1,61,88,893
88,88,16,8,0,0,1,1,1,1,70,88,1024
88,88,16,8,0,0,1,1,1,1,79,88,1156
88,88,16,8,0,0,1,1,1,1,88,88,1288
88,88,8,24,0,0,1,1,1,1,8,88,208
88,88,8,24,0,0,1,1,1,1,17,88,443
88,88,8,24,0,0,1,1,1,1,26,88,677
88,88,8,24,0,0,1,1,1,1,35,88,911
88,88,8,24,0,0,1,1,1,1,44,88,1145
88,88,8,24,0,0,1,1,1,1,52,88,1353
88,88,8,24,0,0,1,1,1,1,61,88,1588
88,88,8,24,0,0,1,1,1,1,70,88,1822
88,88,8,24,0,0,1,1,1,1,79,88,2056
88,88,8,24,0,0,1,1,1,1,88,88,2290
44,44,24,16,0,0,1,1,1,1,4,44,67
44,44,24,16,0,0,1,1,1,1,8,44,134
44,44,24,16,0,0,1,1,1,1,13,44,218
44,44,24,16,0,0,1,1,1,1,17,44,284
44,44,24,16,0,0,1,1,1,1,22,44,368
44,44,24,16,0,0,1,1,1,1,26,44,435
44,44,24,16,0,0,1,1,1,1,30,44,502
44,44,24,16,0,0,1,1,1,1,35,44,586
44,44,24,16,0,0,1,1,1,1,39,44,652
44,44,24,16,0,0,1,1,1,1,44,44,736
44,44,16,48,0,0,1,1,1,1,4,44,142
44,44,16,48,0,0,1,1,1,1,8,44,283
44,44,16,48,0,0,1,1,1,1,13,44,460
44,44,16,48,0,0,1,1,1,1,17,44,602
44,44,16,48,0,0,1,1,1,1,22,44,779
44,44,16,48,0,0,1,1,1,1,26,44,920
44,44,16,48,0,0,1,1,1,1,30,44,1062
44,44,16,48,0,0,1,1,1,1,35,44,1239
44,44,16,48,0,0,1,1,1,1,39,44,1380
44,44,16,48,0,0,1,1,1,1,44,44,1558
44,44,48,16,0,0,1,1,1,1,4,44,112
44,44,48,16,0,0,1,1,1,1,8,44,225
44,44,48,16,0,0,1,1,1,1,13,44,366
44,44,48,16,0,0,1,1,1,1,17,44,478
