IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
32,32,3,32,2,2,5,5,1,1,3,32,254
32,32,3,32,2,2,5,5,1,1,6,32,511
32,32,3,32,2,2,5,5,1,1,9,32,767
32,32,3,32,2,2,5,5,1,1,12,32,1023
32,32,3,32,2,2,5,5,1,1,16,32,1365
32,32,3,32,2,2,5,5,1,1,19,32,1620
32,32,3,32,2,2,5,5,1,1,22,32,1877
32,32,3,32,2,2,5,5,1,1,25,32,2132
32,32,3,32,2,2,5,5,1,1,28,32,2388
32,32,3,32,2,2,5,5,1,1,32,32,2729
16,16,32,32,2,2,5,5,1,1,1,16,347
16,16,32,32,2,2,5,5,1,1,3,16,1028
16,16,32,32,2,2,5,5,1,1,4,16,1367
16,16,32,32,2,2,5,5,1,1,6,16,2043
16,16,32,32,2,2,5,5,1,1,8,16,2721
16,16,32,32,2,2,5,5,1,1,9,16,3059
16,16,32,32,2,2,5,5,1,1,11,16,3736
16,16,32,32,2,2,5,5,1,1,12,16,4074
16,16,32,32,2,2,5,5,1,1,14,16,4751
16,16,32,32,2,2,5,5,1,1,16,16,5441
8,8,32,64,2,2,5,5,1,1,0,8,0
8,8,32,64,2,2,5,5,1,1,1,8,332
8,8,32,64,2,2,5,5,1,1,2,8,661
8,8,32,64,2,2,5,5,1,1,3,8,989
8,8,32,64,2,2,5,5,1,1,4,8,1317
8,8,32,64,2,2,5,5,1,1,4,8,1317
8,8,32,64,2,2,5,5,1,1,5,8,1644
8,8,32,64,2,2,5,5,1,1,6,8,1973
8,8,32,64,2,2,5,5,1,1,7,8,2302
8,8,32,64,2,2,5,5,1,1,8,8,2634
