IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
48,48,16,16,1,1,3,3,1,1,4,48,130
48,48,16,16,1,1,3,3,1,1,9,48,293
48,48,16,16,1,1,3,3,1,1,14,48,457
48,48,16,16,1,1,3,3,1,1,19,48,620
48,48,16,16,1,1,3,3,1,1,24,48,783
48,48,16,16,1,1,3,3,1,1,28,48,915
48,48,16,16,1,1,3,3,1,1,33,48,1077
48,48,16,16,1,1,3,3,1,1,38,48,1241
48,48,16,16,1,1,3,3,1,1,43,48,1404
48,48,16,16,1,1,3,3,1,1,48,48,1567
48,48,32,32,1,1,3,3,2,2,2,24,59
48,48,32,32,1,1,3,3,2,2,4,24,119
48,48,32,32,1,1,3,3,2,2,7,24,209
48,48,32,32,1,1,3,3,2,2,9,24,268
48,48,32,32,1,1,3,3,2,2,12,24,359
48,48,32,32,1,1,3,3,2,2,14,24,417
48,48,32,32,1,1,3,3,2,2,16,24,478
48,48,32,32,1,1,3,3,2,2,19,24,567
48,48,32,32,1,1,3,3,2,2,21,24,627
48,48,32,32,1,1,3,3,2,2,24,24,717
24,24,48,48,1,1,3,3,1,1,2,24,86
24,24,48,48,1,1,3,3,1,1,4,24,173
24,24,48,48,1,1,3,3,1,1,7,24,304
24,24,48,48,1,1,3,3,1,1,9,24,390
24,24,48,48,1,1,3,3,1,1,12,24,520
24,24,48,48,1,1,3,3,1,1,14,24,608
24,24,48,48,1,1,3,3,1,1,16,24,694
24,24,48,48,1,1,3,3,1,1,19,24,824
24,24,48,48,1,1,3,3,1,1,21,24,911
24,24,48,48,1,1,3,3,1,1,24,24,1041
24,24,48,48,3,3,7,7,2,2,1,12,102
24,24,48,48,3,3,7,7,2,2,2,12,204
24,24,48,48,3,3,7,7,2,2,3,12,308
24,24,48,48,3,3,7,7,2,2,4,12,412
24,24,48,48,3,3,7,7,2,2,6,12,617
24,24,48,48,3,3,7,7,2,2,7,12,721
24,24,48,48,3,3,7,7,2,2,8,12,824
24,24,48,48,3,3,7,7,2,2,9,12,927
24,24,48,48,3,3,7,7,2,2,10,12,1030
24,24,48,48,3,3,7,7,2,2,12,12,1236
12,12,120,120,1,1,3,3,1,1,1,12,52
12,12,120,120,1,1,3,3,1,1,2,12,105
12,12,120,120,1,1,3,3,1,1,3,12,156
12,12,120,120,1,1,3,3,1,1,4,12,208
12,12,120,120,1,1,3,3,1,1,6,12,313
12,12,120,120,1,1,3,3,1,1,7,12,365
12,12,120,120,1,1,3,3,1,1,8,12,417
12,12,120,120,1,1,3,3,1,1,9,12,469
12,12,120,120,1,1,3,3,1,1,10,12,522
12,12,120,120,1,1,3,3,1,1,12,12,625
12,12,120,120,1,1,3,3,2,2,0,6,0
12,12,120,120,1,1,3,3,2,2,1,6,26
12,12,120,120,1,1,3,3,2,2,1,6,26
12,12,120,120,1,1,3,3,2,2,2,6,53
12,12,120,120,1,1,3,3,2,2,3,6,78
12,12,120,120,1,1,3,3,2,2,3,6,78
12,12,120,120,1,1,3,3,2,2,4,6,104
12,12,120,120,1,1,3,3,2,2,4,6,105
12,12,120,120,1,1,3,3,2,2,5,6,130
12,12,120,120,1,1,3,3,2,2,6,6,157
6,6,160,160,3,3,7,7,1,1,0,6,0
6,6,160,160,3,3,7,7,1,1,1,6,163
6,6,160,160,3,3,7,7,1,1,1,6,163
6,6,160,160,3,3,7,7,1,1,2,6,327
