IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
72,72,16,16,1,1,3,3,1,1,7,72,341
72,72,16,16,1,1,3,3,1,1,14,72,686
72,72,16,16,1,1,3,3,1,1,21,72,1028
72,72,16,16,1,1,3,3,1,1,28,72,1371
72,72,16,16,1,1,3,3,1,1,36,72,1763
72,72,16,16,1,1,3,3,1,1,43,72,2107
72,72,16,16,1,1,3,3,1,1,50,72,2450
72,72,16,16,1,1,3,3,1,1,57,72,2792
72,72,16,16,1,1,3,3,1,1,64,72,3136
72,72,16,16,1,1,3,3,1,1,72,72,3527
36,36,48,48,1,1,3,3,1,1,3,36,195
36,36,48,48,1,1,3,3,1,1,7,36,455
36,36,48,48,1,1,3,3,1,1,10,36,650
36,36,48,48,1,1,3,3,1,1,14,36,911
36,36,48,48,1,1,3,3,1,1,18,36,1172
36,36,48,48,1,1,3,3,1,1,21,36,1366
36,36,48,48,1,1,3,3,1,1,25,36,1627
36,36,48,48,1,1,3,3,1,1,28,36,1822
36,36,48,48,1,1,3,3,1,1,32,36,2083
36,36,48,48,1,1,3,3,1,1,36,36,2342
36,36,48,48,1,1,3,3,2,2,1,18,33
36,36,48,48,1,1,3,3,2,2,3,18,97
36,36,48,48,1,1,3,3,2,2,5,18,163
36,36,48,48,1,1,3,3,2,2,7,18,227
36,36,48,48,1,1,3,3,2,2,9,18,293
36,36,48,48,1,1,3,3,2,2,10,18,325
36,36,48,48,1,1,3,3,2,2,12,18,391
36,36,48,48,1,1,3,3,2,2,14,18,455
36,36,48,48,1,1,3,3,2,2,16,18,521
36,36,48,48,1,1,3,3,2,2,18,18,586
18,18,96,96,1,1,3,3,1,1,1,18,63
18,18,96,96,1,1,3,3,1,1,3,18,188
18,18,96,96,1,1,3,3,1,1,5,18,315
18,18,96,96,1,1,3,3,1,1,7,18,441
18,18,96,96,1,1,3,3,1,1,9,18,567
18,18,96,96,1,1,3,3,1,1,10,18,629
18,18,96,96,1,1,3,3,1,1,12,18,756
18,18,96,96,1,1,3,3,1,1,14,18,882
18,18,96,96,1,1,3,3,1,1,16,18,1008
18,18,96,96,1,1,3,3,1,1,18,18,1133
18,18,96,96,1,1,3,3,2,2,0,9,0
18,18,96,96,1,1,3,3,2,2,1,9,31
18,18,96,96,1,1,3,3,2,2,2,9,63
18,18,96,96,1,1,3,3,2,2,3,9,95
18,18,96,96,1,1,3,3,2,2,4,9,126
18,18,96,96,1,1,3,3,2,2,5,9,157
18,18,96,96,1,1,3,3,2,2,6,9,189
18,18,96,96,1,1,3,3,2,2,7,9,221
18,18,96,96,1,1,3,3,2,2,8,9,251
18,18,96,96,1,1,3,3,2,2,9,9,284
9,9,144,144,1,1,3,3,1,1,0,9,0
9,9,144,144,1,1,3,3,1,1,1,9,47
9,9,144,144,1,1,3,3,1,1,2,9,94
9,9,144,144,1,1,3,3,1,1,3,9,142
9,9,144,144,1,1,3,3,1,1,4,9,188
9,9,144,144,1,1,3,3,1,1,5,9,236
9,9,144,144,1,1,3,3,1,1,6,9,283
9,9,144,144,1,1,3,3,1,1,7,9,330
9,9,144,144,1,1,3,3,1,1,8,9,378
9,9,144,144,1,1,3,3,1,1,9,9,424
9,9,192,192,1,1,3,3,1,1,0,9,0
9,9,192,192,1,1,3,3,1,1,1,9,63
9,9,192,192,1,1,3,3,1,1,2,9,125
9,9,192,192,1,1,3,3,1,1,3,9,188
9,9,192,192,1,1,3,3,1,1,4,9,250
9,9,192,192,1,1,3,3,1,1,5,9,313
9,9,192,192,1,1,3,3,1,1,6,9,375
9,9,192,192,1,1,3,3,1,1,7,9,439
9,9,192,192,1,1,3,3,1,1,8,9,500
9,9,192,192,1,1,3,3,1,1,9,9,563
9,9,192,192,1,1,3,3,2,2,0,5,1
9,9,192,192,1,1,3,3,2,2,1,5,34
9,9,192,192,1,1,3,3,2,2,1,5,35
9,9,192,192,1,1,3,3,2,2,2,5,70
9,9,192,192,1,1,3,3,2,2,2,5,69
9,9,192,192,1,1,3,3,2,2,3,5,104
9,9,192,192,1,1,3,3,2,2,3,5,105
9,9,192,192,1,1,3,3,2,2,4,5,139
9,9,192,192,1,1,3,3,2,2,4,5,139
9,9,192,192,1,1,3,3,2,2,5,5,174
5,5,336,336,1,1,3,3,1,1,0,5,0
5,5,336,336,1,1,3,3,1,1,1,5,60
5,5,336,336,1,1,3,3,1,1,1,5,60
5,5,336,336,1,1,3,3,1,1,2,5,120
5,5,336,336,1,1,3,3,1,1,2,5,121
5,5,336,336,1,1,3,3,1,1,3,5,182
5,5,336,336,1,1,3,3,1,1,3,5,181
5,5,336,336,1,1,3,3,1,1,4,5,242
5,5,336,336,1,1,3,3,1,1,4,5,241
5,5,336,336,1,1,3,3,1,1,5,5,303
