IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
88,88,16,16,1,1,3,3,1,1,8,88,477
88,88,16,16,1,1,3,3,1,1,17,88,1017
88,88,16,16,1,1,3,3,1,1,26,88,1557
88,88,16,16,1,1,3,3,1,1,35,88,2095
88,88,16,16,1,1,3,3,1,1,44,88,2635
88,88,16,16,1,1,3,3,1,1,52,88,3114
88,88,16,16,1,1,3,3,1,1,61,88,3653
88,88,16,16,1,1,3,3,1,1,70,88,4192
88,88,16,16,1,1,3,3,1,1,79,88,4732
88,88,16,16,1,1,3,3,1,1,88,88,5269
88,88,24,24,1,1,3,3,2,2,4,44,169
88,88,24,24,1,1,3,3,2,2,8,44,338
88,88,24,24,1,1,3,3,2,2,13,44,550
88,88,24,24,1,1,3,3,2,2,17,44,720
88,88,24,24,1,1,3,3,2,2,22,44,931
88,88,24,24,1,1,3,3,2,2,26,44,1101
88,88,24,24,1,1,3,3,2,2,30,44,1270
88,88,24,24,1,1,3,3,2,2,35,44,1482
88,88,24,24,1,1,3,3,2,2,39,44,1651
88,88,24,24,1,1,3,3,2,2,44,44,1864
44,44,48,48,1,1,3,3,1,1,4,44,317
44,44,48,48,1,1,3,3,1,1,8,44,636
44,44,48,48,1,1,3,3,1,1,13,44,1034
44,44,48,48,1,1,3,3,1,1,17,44,1352
44,44,48,48,1,1,3,3,1,1,22,44,1750
44,44,48,48,1,1,3,3,1,1,26,44,2069
44,44,48,48,1,1,3,3,1,1,30,44,2386
44,44,48,48,1,1,3,3,1,1,35,44,2785
44,44,48,48,1,1,3,3,1,1,39,44,3102
44,44,48,48,1,1,3,3,1,1,44,44,3501
44,44,48,48,1,1,3,3,2,2,2,22,79
44,44,48,48,1,1,3,3,2,2,4,22,159
44,44,48,48,1,1,3,3,2,2,6,22,238
44,44,48,48,1,1,3,3,2,2,8,22,318
44,44,48,48,1,1,3,3,2,2,11,22,438
44,44,48,48,1,1,3,3,2,2,13,22,517
44,44,48,48,1,1,3,3,2,2,15,22,596
44,44,48,48,1,1,3,3,2,2,17,22,676
44,44,48,48,1,1,3,3,2,2,19,22,756
44,44,48,48,1,1,3,3,2,2,22,22,875
22,22,48,48,1,1,3,3,1,1,2,22,79
22,22,48,48,1,1,3,3,1,1,4,22,159
22,22,48,48,1,1,3,3,1,1,6,22,239
22,22,48,48,1,1,3,3,1,1,8,22,318
22,22,48,48,1,1,3,3,1,1,11,22,437
22,22,48,48,1,1,3,3,1,1,13,22,517
22,22,48,48,1,1,3,3,1,1,15,22,596
22,22,48,48,1,1,3,3,1,1,17,22,676
22,22,48,48,1,1,3,3,1,1,19,22,756
22,22,48,48,1,1,3,3,1,1,22,22,874
22,22,96,96,1,1,3,3,2,2,1,11,39
22,22,96,96,1,1,3,3,2,2,2,11,76
22,22,96,96,1,1,3,3,2,2,3,11,116
22,22,96,96,1,1,3,3,2,2,4,11,154
22,22,96,96,1,1,3,3,2,2,5,11,192
22,22,96,96,1,1,3,3,2,2,6,11,231
22,22,96,96,1,1,3,3,2,2,7,11,269
22,22,96,96,1,1,3,3,2,2,8,11,308
22,22,96,96,1,1,3,3,2,2,9,11,347
22,22,96,96,1,1,3,3,2,2,11,11,423
11,11,72,72,1,1,3,3,1,1,1,11,29
11,11,72,72,1,1,3,3,1,1,2,11,59
11,11,72,72,1,1,3,3,1,1,3,11,87
11,11,72,72,1,1,3,3,1,1,4,11,117
11,11,72,72,1,1,3,3,1,1,5,11,145
