IH,IW,IC,OC,PH,PW,KH,KW,SH,SW,OH,OW,T
48,48,16,8,0,0,1,1,1,1,4,48,15
48,48,16,8,0,0,1,1,1,1,9,48,35
48,48,16,8,0,0,1,1,1,1,14,48,53
48,48,16,8,0,0,1,1,1,1,19,48,74
48,48,16,8,0,0,1,1,1,1,24,48,92
48,48,16,8,0,0,1,1,1,1,28,48,108
48,48,16,8,0,0,1,1,1,1,33,48,127
48,48,16,8,0,0,1,1,1,1,38,48,146
48,48,16,8,0,0,1,1,1,1,43,48,166
48,48,16,8,0,0,1,1,1,1,48,48,186
48,48,8,32,0,0,1,1,1,1,4,48,34
48,48,8,32,0,0,1,1,1,1,9,48,78
48,48,8,32,0,0,1,1,1,1,14,48,122
48,48,8,32,0,0,1,1,1,1,19,48,165
48,48,8,32,0,0,1,1,1,1,24,48,208
48,48,8,32,0,0,1,1,1,1,28,48,243
48,48,8,32,0,0,1,1,1,1,33,48,286
48,48,8,32,0,0,1,1,1,1,38,48,330
48,48,8,32,0,0,1,1,1,1,43,48,373
48,48,8,32,0,0,1,1,1,1,48,48,417
24,24,32,16,0,0,1,1,1,1,2,24,11
24,24,32,16,0,0,1,1,1,1,4,24,21
24,24,32,16,0,0,1,1,1,1,7,24,38
24,24,32,16,0,0,1,1,1,1,9,24,49
24,24,32,16,0,0,1,1,1,1,12,24,65
24,24,32,16,0,0,1,1,1,1,14,24,76
24,24,32,16,0,0,1,1,1,1,16,24,86
24,24,32,16,0,0,1,1,1,1,19,24,103
24,24,32,16,0,0,1,1,1,1,21,24,113
24,24,32,16,0,0,1,1,1,1,24,24,130
24,24,16,48,0,0,1,1,1,1,2,24,18
24,24,16,48,0,0,1,1,1,1,4,24,37
24,24,16,48,0,0,1,1,1,1,7,24,64
24,24,16,48,0,0,1,1,1,1,9,24,83
24,24,16,48,0,0,1,1,1,1,12,24,109
24,24,16,48,0,0,1,1,1,1,14,24,128
24,24,16,48,0,0,1,1,1,1,16,24,147
24,24,16,48,0,0,1,1,1,1,19,24,174
24,24,16,48,0,0,1,1,1,1,21,24,193
24,24,16,48,0,0,1,1,1,1,24,24,220
24,24,48,16,0,0,1,1,1,1,2,24,15
24,24,48,16,0,0,1,1,1,1,4,24,30
24,24,48,16,0,0,1,1,1,1,7,24,52
24,24,48,16,0,0,1,1,1,1,9,24,67
24,24,48,16,0,0,1,1,1,1,12,24,89
24,24,48,16,0,0,1,1,1,1,14,24,104
24,24,48,16,0,0,1,1,1,1,16,24,120
24,24,48,16,0,0,1,1,1,1,19,24,142
24,24,48,16,0,0,1,1,1,1,21,24,157
24,24,48,16,0,0,1,1,1,1,24,24,180
12,12,48,24,0,0,1,1,1,1,1,12,5
12,12,48,24,0,0,1,1,1,1,2,12,11
12,12,48,24,0,0,1,1,1,1,3,12,16
12,12,48,24,0,0,1,1,1,1,4,12,22
12,12,48,24,0,0,1,1,1,1,6,12,32
12,12,48,24,0,0,1,1,1,1,7,12,38
12,12,48,24,0,0,1,1,1,1,8,12,43
12,12,48,24,0,0,1,1,1,1,9,12,49
12,12,48,24,0,0,1,1,1,1,10,12,54
12,12,48,24,0,0,1,1,1,1,12,12,64
12,12,24,120,0,0,1,1,1,1,1,12,14
12,12,24,120,0,0,1,1,1,1,2,12,30
12,12,24,120,0,0,1,1,1,1,3,12,44
12,12,24,120,0,0,1,1,1,1,4,12,59
12,12,24,120,0,0,1,1,1,1,6,12,88
12,12,24,120,0,0,1,1,1,1,7,12,103
12,12,24,120,0,0,1,1,1,1,8,12,118
12,12,24,120,0,0,1,1,1,1,9,12,132
12,12,24,120,0,0,1,1,1,1,10,12,147
12,12,24,120,0,0,1,1,1,1,12,12,176
12,12,120,24,0,0,1,1,1,1,1,12,12
12,12,120,24,0,0,1,1,1,1,2,12,24
12,12,120,24,0,0,1,1,1,1,3,12,37
12,12,120,24,0,0,1,1,1,1,4,12,48
12,12,120,24,0,0,1,1,1,1,6,12,73
12,12,120,24,0,0,1,1,1,1,7,12,85
12,12,120,24,0,0,1,1,1,1,8,12,97
12,12,120,24,0,0,1,1,1,1,9,12,109
12,12,120,24,0,0,1,1,1,1,10,12,122
12,12,120,24,0,0,1,1,1,1,12,12,146
