CNN,IH,IW,IC,OC,KH,KW,SH,SW,PT,PH,PW,DH,DW,GP
SmallCifar,32,32,3,32,5,5,1,1,1,2,2,1,1,1
SmallCifar,16,16,32,32,5,5,1,1,1,2,2,1,1,1
SmallCifar,8,8,32,64,5,5,1,1,1,2,2,1,1,1
MobileNetV2,144,144,3,16,3,3,2,2,1,1,1,1,1,1
MobileNetV2,72,72,16,16,3,3,1,1,1,1,1,1,1,16
MobileNetV2,72,72,16,8,1,1,1,1,1,0,0,1,1,1
MobileNetV2,72,72,8,48,1,1,1,1,1,0,0,1,1,1
MobileNetV2,72,72,48,48,3,3,2,2,1,1,1,1,1,48
MobileNetV2,36,36,48,8,1,1,1,1,1,0,0,1,1,1
MobileNetV2,36,36,8,48,1,1,1,1,1,0,0,1,1,1
MobileNetV2,36,36,48,48,3,3,1,1,1,1,1,1,1,48
MobileNetV2,36,36,48,8,1,1,1,1,1,0,0,1,1,1
MobileNetV2,36,36,8,48,1,1,1,1,1,0,0,1,1,1
MobileNetV2,36,36,48,48,3,3,2,2,1,1,1,1,1,48
MobileNetV2,18,18,48,16,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,16,96,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,96,96,3,3,1,1,1,1,1,1,1,96
MobileNetV2,18,18,96,16,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,16,96,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,96,96,3,3,1,1,1,1,1,1,1,96
MobileNetV2,18,18,96,16,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,16,96,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,96,96,3,3,2,2,1,1,1,1,1,96
MobileNetV2,9,9,96,24,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,24,144,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,144,144,3,3,1,1,1,1,1,1,1,144
MobileNetV2,9,9,144,24,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,24,144,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,144,144,3,3,1,1,1,1,1,1,1,144
MobileNetV2,9,9,144,24,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,24,144,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,144,144,3,3,1,1,1,1,1,1,1,144
MobileNetV2,9,9,144,24,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,24,144,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,144,144,3,3,1,1,1,1,1,1,1,144
MobileNetV2,9,9,144,32,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,32,192,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,192,192,3,3,1,1,1,1,1,1,1,192
MobileNetV2,9,9,192,32,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,32,192,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,192,192,3,3,1,1,1,1,1,1,1,192
MobileNetV2,9,9,192,32,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,32,192,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,192,192,3,3,2,2,1,1,1,1,1,192
MobileNetV2,5,5,192,56,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,56,336,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,336,336,3,3,1,1,1,1,1,1,1,336
MobileNetV2,5,5,336,56,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,56,336,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,336,336,3,3,1,1,1,1,1,1,1,336
MobileNetV2,5,5,336,56,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,56,336,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,336,336,3,3,1,1,1,1,1,1,1,336
MobileNetV2,5,5,336,112,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,112,448,1,1,1,1,1,0,0,1,1,1
MobileNetV2,1,1,448,1000,1,1,1,1,1,0,0,1,1,1
Proxyless,176,176,3,16,3,3,2,2,1,1,1,1,1,1
Proxyless,88,88,16,16,3,3,1,1,1,1,1,1,1,16
Proxyless,88,88,16,8,1,1,1,1,1,0,0,1,1,1
Proxyless,88,88,8,24,1,1,1,1,1,0,0,1,1,1
Proxyless,88,88,24,24,3,3,2,2,1,1,1,1,1,24
Proxyless,44,44,24,16,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,16,48,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,48,48,3,3,1,1,1,1,1,1,1,48
Proxyless,44,44,48,16,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,16,48,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,48,48,3,3,2,2,1,1,1,1,1,48
