CNN,IH,IW,IC,OC,KH,KW,SH,SW,PT,PH,PW,DH,DW,GP
MobileNetV2,72,72,16,8,1,1,1,1,1,0,0,1,1,1
MobileNetV2,72,72,8,48,1,1,1,1,1,0,0,1,1,1
MobileNetV2,36,36,48,8,1,1,1,1,1,0,0,1,1,1
MobileNetV2,36,36,8,48,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,48,16,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,16,96,1,1,1,1,1,0,0,1,1,1
MobileNetV2,18,18,96,16,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,96,24,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,24,144,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,144,24,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,144,32,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,32,192,1,1,1,1,1,0,0,1,1,1
MobileNetV2,9,9,192,32,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,192,56,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,56,336,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,336,56,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,336,112,1,1,1,1,1,0,0,1,1,1
MobileNetV2,5,5,112,448,1,1,1,1,1,0,0,1,1,1
MobileNetV2,1,1,448,1000,1,1,1,1,1,0,0,1,1,1
Proxyless,88,88,16,8,1,1,1,1,1,0,0,1,1,1
Proxyless,88,88,8,24,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,24,16,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,16,48,1,1,1,1,1,0,0,1,1,1
Proxyless,44,44,48,16,1,1,1,1,1,0,0,1,1,1
Proxyless,22,22,48,16,1,1,1,1,1,0,0,1,1,1
Proxyless,22,22,16,48,1,1,1,1,1,0,0,1,1,1
Proxyless,22,22,16,96,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,96,24,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,24,72,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,72,24,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,24,144,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,144,32,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,32,96,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,96,32,1,1,1,1,1,0,0,1,1,1
Proxyless,11,11,32,192,1,1,1,1,1,0,0,1,1,1
Proxyless,6,6,192,64,1,1,1,1,1,0,0,1,1,1
Proxyless,6,6,64,384,1,1,1,1,1,0,0,1,1,1
Proxyless,6,6,384,64,1,1,1,1,1,0,0,1,1,1
Proxyless,6,6,64,192,1,1,1,1,1,0,0,1,1,1
Proxyless,6,6,384,96,1,1,1,1,1,0,0,1,1,1
Proxyless,6,6,96,384,1,1,1,1,1,0,0,1,1,1
Proxyless,1,1,384,1000,1,1,1,1,1,0,0,1,1,1
MnasNet,48,48,16,8,1,1,1,1,1,0,0,1,1,1
MnasNet,48,48,8,32,1,1,1,1,1,0,0,1,1,1
MnasNet,24,24,32,16,1,1,1,1,1,0,0,1,1,1
MnasNet,24,24,16,48,1,1,1,1,1,0,0,1,1,1
MnasNet,24,24,48,16,1,1,1,1,1,0,0,1,1,1
MnasNet,12,12,48,24,1,1,1,1,1,0,0,1,1,1
MnasNet,12,12,24,120,1,1,1,1,1,0,0,1,1,1
MnasNet,12,12,120,24,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,120,40,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,40,160,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,160,40,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,160,48,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,48,144,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,144,48,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,48,192,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,192,48,1,1,1,1,1,0,0,1,1,1
MnasNet,6,6,48,240,1,1,1,1,1,0,0,1,1,1
MnasNet,3,3,240,96,1,1,1,1,1,0,0,1,1,1
MnasNet,3,3,96,384,1,1,1,1,1,0,0,1,1,1
MnasNet,3,3,384,96,1,1,1,1,1,0,0,1,1,1
MnasNet,3,3,96,576,1,1,1,1,1,0,0,1,1,1
MnasNet,3,3,576,160,1,1,1,1,1,0,0,1,1,1
MnasNet,3,3,160,160,1,1,1,1,1,0,0,1,1,1
MnasNet,1,1,160,1000,1,1,1,1,1,0,0,1,1,1
